,x,y,z,"P(X,Y,Z)"
0,1,1,1,0.002831080017084533
1,1,1,2,0.010758104064921224
2,1,1,3,0.020440397723350323
3,1,1,4,0.025891170449577082
4,1,1,5,0.02459661192709822
5,1,1,6,0.018693425064594645
6,1,1,7,0.011839169207576609
7,1,1,8,0.006426977569827294
8,1,1,9,0.0030528143456679652
9,1,1,10,0.00128896605705981
10,1,1,11,0.0004898071016827267
11,1,1,12,0.0001692060896722147
12,1,1,13,5.3581928396201476e-05
13,1,1,14,1.5662409838889636e-05
14,1,1,15,4.251225527698595e-06
15,1,1,16,1.0769771336836458e-06
16,1,1,17,2.557820692498655e-07
17,1,1,18,5.7174815479381676e-08
18,1,1,19,1.2070238823425083e-08
19,1,1,20,2.41404776468501e-09
20,1,2,1,0.0038624005079337673
21,1,2,2,0.014677121930148312
22,1,2,3,0.02788653166728179
23,1,2,4,0.03532294011189027
24,1,2,5,0.03355679310629575
25,1,2,6,0.025503162760784768
26,1,2,7,0.016152003081830353
27,1,2,8,0.00876823024442218
28,1,2,9,0.004164909366100537
29,1,2,10,0.0017585172879091187
30,1,2,11,0.0006682365694054635
31,1,2,12,0.0002308453603400693
32,1,2,13,7.31010307743555e-05
33,1,2,14,2.1367993610965417e-05
34,1,2,15,5.7998839801191556e-06
35,1,2,16,1.4693039416301886e-06
36,1,2,17,3.4895968613716925e-07
37,1,2,18,7.800275337183781e-08
38,1,2,19,1.6467247934054734e-08
39,1,2,20,3.293449586810937e-09
40,1,3,1,0.005127455174615541
41,1,3,2,0.019484329663539048
42,1,3,3,0.03702022636072419
43,1,3,4,0.04689228672358399
44,1,3,5,0.04454767238740477
45,1,3,6,0.03385623101442762
46,1,3,7,0.02144227964247083
47,1,3,8,0.01164009466305558
48,1,3,9,0.005529044964951401
49,1,3,10,0.0023344856518683734
50,1,3,11,0.0008871045477099799
51,1,3,12,0.00030645429829981134
52,1,3,13,9.704386112827386e-05
53,1,3,14,2.8366667099033853e-05
54,1,3,15,7.69952392688058e-06
55,1,3,16,1.9505460614764166e-06
56,1,3,17,4.6325468960064825e-07
57,1,3,18,1.0355104826367428e-07
58,1,3,19,2.1860776855664684e-08
59,1,3,20,4.3721553711329245e-09
60,1,4,1,0.004958167381754839
61,1,4,2,0.01884103605066838
62,1,4,3,0.03579796849626992
63,1,4,4,0.04534409342860858
64,1,4,5,0.04307688875717813
65,1,4,6,0.03273843545545538
66,1,4,7,0.02073434245512174
67,1,4,8,0.011255785904208932
68,1,4,9,0.005346498304499243
69,1,4,10,0.002257410395233018
70,1,4,11,0.0008578159501885449
71,1,4,12,0.00029633641915604285
72,1,4,13,9.38398660660805e-05
73,1,4,14,2.7430114696238872e-05
74,1,4,15,7.445316846121943e-06
75,1,4,16,1.8861469343508955e-06
76,1,4,17,4.47959896908337e-07
77,1,4,18,1.0013221225009881e-07
78,1,4,19,2.113902258613208e-08
79,1,4,20,4.227804517226405e-09
80,2,1,1,0.0007077700042711333
81,2,1,2,0.002689526016230306
82,2,1,3,0.005110099430837581
83,2,1,4,0.0064727926123942705
84,2,1,5,0.006149152981774555
85,2,1,6,0.004673356266148661
86,2,1,7,0.002959792301894152
87,2,1,8,0.0016067443924568236
88,2,1,9,0.0007632035864169913
89,2,1,10,0.0003222415142649525
90,2,1,11,0.00012245177542068167
91,2,1,12,4.2301522418053675e-05
92,2,1,13,1.3395482099050369e-05
93,2,1,14,3.915602459722409e-06
94,2,1,15,1.0628063819246487e-06
95,2,1,16,2.6924428342091144e-07
96,2,1,17,6.394551731246637e-08
97,2,1,18,1.4293703869845419e-08
98,2,1,19,3.017559705856271e-09
99,2,1,20,6.035119411712525e-10
100,2,2,1,0.0009656001269834418
101,2,2,2,0.003669280482537078
102,2,2,3,0.006971632916820448
103,2,2,4,0.008830735027972568
104,2,2,5,0.008389198276573938
105,2,2,6,0.006375790690196192
106,2,2,7,0.004038000770457588
107,2,2,8,0.002192057561105545
108,2,2,9,0.0010412273415251342
109,2,2,10,0.00043962932197727967
110,2,2,11,0.00016705914235136588
111,2,2,12,5.771134008501733e-05
112,2,2,13,1.8275257693588873e-05
113,2,2,14,5.341998402741354e-06
114,2,2,15,1.4499709950297889e-06
115,2,2,16,3.6732598540754714e-07
116,2,2,17,8.723992153429231e-08
117,2,2,18,1.9500688342959452e-08
118,2,2,19,4.1168119835136834e-09
119,2,2,20,8.233623967027343e-10
120,2,3,1,0.0012818637936538853
121,2,3,2,0.004871082415884762
122,2,3,3,0.009255056590181047
123,2,3,4,0.011723071680895997
124,2,3,5,0.011136918096851193
125,2,3,6,0.008464057753606905
126,2,3,7,0.005360569910617708
127,2,3,8,0.002910023665763895
128,2,3,9,0.0013822612412378503
129,2,3,10,0.0005836214129670933
130,2,3,11,0.00022177613692749498
131,2,3,12,7.661357457495284e-05
132,2,3,13,2.4260965282068464e-05
133,2,3,14,7.091666774758463e-06
134,2,3,15,1.924880981720145e-06
135,2,3,16,4.876365153691041e-07
136,2,3,17,1.1581367240016206e-07
137,2,3,18,2.588776206591857e-08
138,2,3,19,5.465194213916171e-09
139,2,3,20,1.0930388427832311e-09
140,2,4,1,0.0012395418454387097
141,2,4,2,0.004710259012667095
142,2,4,3,0.00894949212406748
143,2,4,4,0.011336023357152145
144,2,4,5,0.010769222189294533
145,2,4,6,0.008184608863863845
146,2,4,7,0.005183585613780435
147,2,4,8,0.002813946476052233
148,2,4,9,0.0013366245761248109
149,2,4,10,0.0005643525988082545
150,2,4,11,0.00021445398754713622
151,2,4,12,7.408410478901071e-05
152,2,4,13,2.3459966516520125e-05
153,2,4,14,6.857528674059718e-06
154,2,4,15,1.8613292115304858e-06
155,2,4,16,4.715367335877239e-07
156,2,4,17,1.1198997422708425e-07
157,2,4,18,2.5033053062524703e-08
158,2,4,19,5.28475564653302e-09
159,2,4,20,1.0569511293066012e-09
160,3,1,1,0.00017694250106778332
161,3,1,2,0.0006723815040575765
162,3,1,3,0.0012775248577093952
163,3,1,4,0.0016181981530985676
164,3,1,5,0.0015372882454436387
165,3,1,6,0.0011683390665371653
166,3,1,7,0.000739948075473538
167,3,1,8,0.0004016860981142059
168,3,1,9,0.00019080089660424783
169,3,1,10,8.056037856623812e-05
170,3,1,11,3.061294385517042e-05
171,3,1,12,1.0575380604513419e-05
172,3,1,13,3.3488705247625923e-06
173,3,1,14,9.789006149306022e-07
174,3,1,15,2.6570159548116217e-07
175,3,1,16,6.731107085522786e-08
176,3,1,17,1.5986379328116592e-08
177,3,1,18,3.5734259674613548e-09
178,3,1,19,7.543899264640677e-10
179,3,1,20,1.5087798529281312e-10
180,3,2,1,0.00024140003174586046
181,3,2,2,0.0009173201206342695
182,3,2,3,0.001742908229205112
183,3,2,4,0.002207683756993142
184,3,2,5,0.0020972995691434845
185,3,2,6,0.001593947672549048
186,3,2,7,0.001009500192614397
187,3,2,8,0.0005480143902763863
188,3,2,9,0.00026030683538128354
189,3,2,10,0.00010990733049431992
190,3,2,11,4.176478558784147e-05
191,3,2,12,1.4427835021254332e-05
192,3,2,13,4.568814423397218e-06
193,3,2,14,1.3354996006853386e-06
194,3,2,15,3.624927487574472e-07
195,3,2,16,9.183149635188678e-08
196,3,2,17,2.1809980383573078e-08
197,3,2,18,4.875172085739863e-09
198,3,2,19,1.0292029958784209e-09
