,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,0,64,2,1,1,10.0,acept,not furnished,540.0,820.0,122.0,11.0,1493.0
2,1,443,5,5,4,3.0,acept,furnished,4172.0,7000.0,1417.0,89.0,12680.0
3,1,73,2,2,1,12.0,acept,not furnished,700.0,1250.0,150.0,16.0,2116.0
6,1,55,1,1,1,2.0,acept,furnished,1950.0,5000.0,375.0,64.0,7389.0
7,1,55,2,2,1,2.0,acept,not furnished,600.0,1300.0,67.0,17.0,1984.0
8,1,82,3,1,1,3.0,acept,furnished,828.0,2000.0,109.0,26.0,2963.0
10,0,60,1,1,0,6.0,acept,not furnished,480.0,720.0,20.0,10.0,1230.0
12,1,20,1,1,0,4.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
15,0,56,2,1,1,1.0,acept,not furnished,345.0,950.0,11.0,13.0,1319.0
18,1,192,3,3,2,13.0,acept,not furnished,2100.0,7800.0,634.0,99.0,10630.0
19,1,93,3,2,1,10.0,acept,not furnished,1497.0,3500.0,227.0,45.0,5269.0
21,1,80,2,2,0,9.0,not acept,not furnished,600.0,2550.0,46.0,33.0,3229.0
25,1,31,1,1,1,4.0,acept,not furnished,272.0,3200.0,64.0,41.0,3577.0
26,1,105,4,2,2,3.0,acept,not furnished,1659.0,6500.0,400.0,83.0,8642.0
27,1,300,3,4,2,9.0,acept,furnished,2000.0,14000.0,1084.0,178.0,17260.0
28,0,150,3,2,2,13.0,acept,not furnished,1370.0,1800.0,250.0,23.0,3443.0
30,1,70,2,1,0,1.0,acept,not furnished,521.0,3000.0,50.0,39.0,3610.0
32,1,250,3,4,2,0.0,acept,not furnished,300.0,3480.0,360.0,53.0,4193.0
33,1,50,1,1,0,1.0,acept,not furnished,325.0,1550.0,25.0,20.0,1920.0
34,1,240,3,3,3,3.0,acept,not furnished,4132.0,3800.0,952.0,49.0,8933.0
36,0,94,3,3,2,1.0,acept,not furnished,750.0,2200.0,192.0,28.0,3170.0
37,1,176,3,4,3,4.0,acept,not furnished,1600.0,6500.0,775.0,83.0,8958.0
39,1,191,3,3,4,1.0,acept,furnished,2605.0,15000.0,1299.0,191.0,19100.0
46,1,230,4,4,4,1.0,acept,furnished,2300.0,13500.0,1084.0,172.0,17060.0
49,1,96,3,3,2,8.0,acept,not furnished,866.0,1790.0,90.0,23.0,2769.0
